path,brand,brand_id
processed_data/five_car_models/images_processed/audi/audi q5-11.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi q2-18.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi q7-2.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi a6-7.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi q5-0.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi a4-5.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi e-tron-11.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi q3-6.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi a3-sedan-8.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi rs7-sportback-8.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi q7-14.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi q7-15.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi rs7-sportback-9.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi a3-sedan-9.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi q3-7.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi e-tron-10.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi a4-4.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi q5-1.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi a6-6.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi q7-3.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi q5-10.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi q2-19.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi q5-12.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi q7-1.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi a6-4.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi q5-3.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi a4-6.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi e-tron-12.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi rs5-18.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi q3-5.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi q7-17.jpg,audi,3
processed_data/five_car_models/images_processed/audi/audi q7-16.jpg,audi,3
